// Cantrips
// -----------------
// Alter Flames
// Buoyancy					AGTT_Shout_Buoyancy
// Candlelight				AGTT_Shout_Candlelight
// Chop (Ritual)
// Copy Text
// Fortify					AGTT_Shout_Fortify
// Mending
// Beast Finder
// Vero's Knock				AGTT_Projectile_VerosKnock

data "SpellAnimationArcaneMagic" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197(SPL_Arcane_Utility_Combat_01_Prepare);;e37d18b8-0de7-4bbc-a644-31ec2a91e548(SPL_Somatic_Touch_Combat_01_Cast);acfe8d41-20c1-4fe8-b158-f4b2be86e080(SPL_Somatic_Touch_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197(SPL_Arcane_Utility_Combat_01_Prepare);;e37d18b8-0de7-4bbc-a644-31ec2a91e548(SPL_Somatic_Touch_Combat_01_Cast);acfe8d41-20c1-4fe8-b158-f4b2be86e080(SPL_Somatic_Touch_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197(SPL_Arcane_Utility_Combat_01_Prepare);;e37d18b8-0de7-4bbc-a644-31ec2a91e548(SPL_Somatic_Touch_Combat_01_Cast);acfe8d41-20c1-4fe8-b158-f4b2be86e080(SPL_Somatic_Touch_Combat_01_Recover);;"
data "VerbalIntent" "Utility"
data "SpellFlags" "HasSomaticComponent;IsConcentration;IsSpell;HasHighGroundRangeExtension"

new entry "AGTT_Shout_Candlelight_Dismiss"
type "SpellData"
data "SpellType" "Shout"
data "Level" "0"
data "SpellSchool" "Alteration"
data "TargetConditions" "Self()"
data "SpellProperties" "RemoveStatus(AGTT_STATUS_CANDLELIGHT)"
data "Icon" "Spell_Evocation_DancingLights"
data "DisplayName" "d91cd3a3-2391-457b-ac5e-3a923d2cd4ab"
data "Description" "0d9e0651-f7aa-4caf-bddc-ac048dd2263c"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Utility_Root_01,KeepRot:Dummy_Root::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Utility_CastFX_01:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Utility_EyeFX_01:Dummy_EyeFX_01,Dummy_EyeFX_02::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Utility_TargetSummon_R_HandFX_Textkey_01:Dummy_R_HandFX:VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Utility_TargetSummon_R_HandFX_Textkey_02:Dummy_R_HandFX:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Utility_TargetSummon_R_HandFX_01:Dummy_R_HandFX::0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Utility_DancingLights_L0"
data "VocalComponentSound" "Vocal_Component_Light"
data "TargetSound" "Spell_Impact_Utility_DancingLights_L0"
data "UseCosts" "BonusActionPoint:1"
data "SpellAnimationArcaneMagic" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197(SPL_Arcane_Utility_Combat_01_Prepare);;c0513845-6e0e-42e8-9a8c-baa5e2b6ead6(SPL_Somatic_Summon_Combat_01_Cast);fbf20742-9dbf-475b-9ff5-42e4b08064ad(SPL_Somatic_Summon_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197(SPL_Arcane_Utility_Combat_01_Prepare);;c0513845-6e0e-42e8-9a8c-baa5e2b6ead6(SPL_Somatic_Summon_Combat_01_Cast);fbf20742-9dbf-475b-9ff5-42e4b08064ad(SPL_Somatic_Summon_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197(SPL_Arcane_Utility_Combat_01_Prepare);;c0513845-6e0e-42e8-9a8c-baa5e2b6ead6(SPL_Somatic_Summon_Combat_01_Cast);fbf20742-9dbf-475b-9ff5-42e4b08064ad(SPL_Somatic_Summon_Combat_01_Recover);;"
data "VerbalIntent" "Utility"
data "SpellFlags" "HasSomaticComponent;IsConcentration;IsSpell;HasHighGroundRangeExtension"

new entry "AGTT_Shout_Fortify"
type "SpellData"
data "SpellType" "Shout"
data "Level" "0"
data "SpellSchool" "Alteration"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_FORTIFIED, 100, 1)"
data "TooltipStatusApply" "ApplyStatus(AGTT_STATUS_FORTIFIED, 100, 1)"
data "Icon" "Spell_Abjuration_Resistance"
data "DisplayName" "f53213ea-5a59-45e0-a8eb-740988aefbe8"
data "Description" "98dbc6d1-fccc-41a1-9203-6230822facda;1"
data "DescriptionParams" "TemporaryHP(1d4)"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Buff_Root_01,KeepRot:Dummy_Root::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_HandFX_01:Dummy_L_HandFX,Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_BodyFX_Textkey_01:Dummy_BodyFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_Root_Textkey_01,KeepRot:Dummy_Root:VFX_Prepare_01:0:None::None::0:0::::;VFX_Sound_Spell_Prepare_Intent_Buff_01:Dummy_Root::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_Resistance_Root_01,KeepRot,Detach:Dummy_Root:VFX_Prepare_01:0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Buff_TargetTouch_R_HandFX_01,KeepRot:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Buff_TargetTouch_R_HandFX_Textkey_01,Detach:Dummy_R_HandFX:VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Buff_Resistance_CastFX_Root_01,KeepRot,Detach:Dummy_Root:VFX_Somatic_01:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Intent_Buff_TargetTouch_Impact_Root_01:Dummy_Root:VFX_Somatic_01:0:None::None::0:0::::;VFX_Sound_Spell_Resistance_Impact_01:Cast::0:None::None::0:0::::"
data "PreviewCursor" "Cast"
data "CastSelfAnimation" "efbf3ee5-7340-4b29-8ab5-113b004a8e7b(SPL_Somatic_Self_Touch_Combat_01_Cast)"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Buff_Resistance_L1to3"
data "VocalComponentSound" "Vocal_Component_ResistanceGeneric"
data "TargetSound" "Spell_Impact_Buff_Resistance_L1to3"
data "UseCosts" "ActionPoint:1"
data "SpellAnimationArcaneMagic" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5(SPL_Arcane_Buff_Combat_01_Prepare);;e37d18b8-0de7-4bbc-a644-31ec2a91e548(SPL_Somatic_Touch_Combat_01_Cast);acfe8d41-20c1-4fe8-b158-f4b2be86e080(SPL_Somatic_Touch_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5(SPL_Arcane_Buff_Combat_01_Prepare);;e37d18b8-0de7-4bbc-a644-31ec2a91e548(SPL_Somatic_Touch_Combat_01_Cast);acfe8d41-20c1-4fe8-b158-f4b2be86e080(SPL_Somatic_Touch_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5(SPL_Arcane_Buff_Combat_01_Prepare);;e37d18b8-0de7-4bbc-a644-31ec2a91e548(SPL_Somatic_Touch_Combat_01_Cast);acfe8d41-20c1-4fe8-b158-f4b2be86e080(SPL_Somatic_Touch_Combat_01_Recover);;"
data "VerbalIntent" "Buff"
data "SpellFlags" "HasSomaticComponent;IsConcentration;IsSpell;HasHighGroundRangeExtension;Stealth"

new entry "AGTT_Target_VerosKnock"
type "SpellData"
data "SpellType" "Target"
data "Level" "0"
data "SpellSchool" "Alteration"
data "SpellProperties" "GROUND:Summon(c05c1aa3-da26-4d73-acbd-adc66f7df6af, 10,,'VerosKnockStack',AGTT_STATUS_VEROS_KNOCK);"
data "TargetRadius" "18"
data "AreaRadius" "6"
data "TargetConditions" "CanStand('c05c1aa3-da26-4d73-acbd-adc66f7df6af')"
data "Icon" "Spell_Conjuration_MageHand"
data "DisplayName" "80819cd4-ac39-4007-97be-00092e21b929"
data "Description" "1ceb5032-1e81-47e3-8e7f-764bde4a828c;1"
data "DescriptionParams" "Distance(6)"
data "ExtraDescription" "Target_MinorIllusion_ExtraDescription"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Utility_Root_01,KeepRot:Dummy_Root::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Utility_CastFX_01:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Utility_Dummy_EyeFX_01:Dummy_EyeFX_01,Dummy_EyeFX_02::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Summon_TargetSummon_R_HandFX_Textkey_01:Dummy_R_HandFX:VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Utility_TargetSummon_R_HandFX_Textkey_02:Dummy_R_HandFX:VFX_Somatic_02:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Utility_TargetSummon_R_HandFX_01:Dummy_R_HandFX::0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Utility_MinorIllusion_L1to3"
data "TargetSound" "Spell_Impact_Utility_MinorIllusion_L1to3"
data "UseCosts" "ActionPoint:1"
data "SpellAnimationArcaneMagic" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197(SPL_Arcane_Utility_Combat_01_Prepare);;c0513845-6e0e-42e8-9a8c-baa5e2b6ead6(SPL_Somatic_Summon_Combat_01_Cast);fbf20742-9dbf-475b-9ff5-42e4b08064ad(SPL_Somatic_Summon_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197(SPL_Arcane_Utility_Combat_01_Prepare);;c0513845-6e0e-42e8-9a8c-baa5e2b6ead6(SPL_Somatic_Summon_Combat_01_Cast);fbf20742-9dbf-475b-9ff5-42e4b08064ad(SPL_Somatic_Summon_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197(SPL_Arcane_Utility_Combat_01_Prepare);;c0513845-6e0e-42e8-9a8c-baa5e2b6ead6(SPL_Somatic_Summon_Combat_01_Cast);fbf20742-9dbf-475b-9ff5-42e4b08064ad(SPL_Somatic_Summon_Combat_01_Recover);;"
data "VerbalIntent" "Utility"
data "SpellFlags" "HasSomaticComponent;IsSpell;CannotTargetCharacter;CannotTargetItems;IgnoreSilence;Stealth"

// 1st Level Spells
// -----------------
// Alarm (Ritual)
// Barrier (Ritual)				AGTT_Target_Barrier
// Burdening Touch				AGTT_Target_BurdeningTouch
// Dictate
// Doorjam						AGTT_Target_Doorjam - Not yet working
// Feather						AGTT_Shout_Feather
// Gust Form					AGTT_Target_GustForm
// Leaf
// Magesoap						AGTT_Target_Magesoap
// Oakflesh						AGTT_Target_Oakflesh
// Piercing Strike
// Sanction						AGTT_Target_Sanction
// Shieldbearer
// Stonefist					AGTT_Shout_Stonefist
// Take Initiative

new entry "AGTT_Target_Barrier"
type "SpellData"
data "SpellType" "Target"
data "Level" "1"
data "SpellSchool" "Alteration"
data "Icon" "Spell_Abjuration_MageArmor"
data "DisplayName" "98098d9e-8cec-4fb3-8042-b415974e7833"
data "Description" "8dfe3356-1014-499e-8dcc-909289d3582d"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_BARRIER, 100, 3)"
data "TargetRadius" "MeleeMainWeaponRange"
data "TargetConditions" "Character()"
data "UseCosts" "ActionPoint:1;SpellSlotsGroup:1:1:1"
data "TooltipStatusApply" "ApplyStatus(AGTT_STATUS_BARRIER, 100, 3)"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Buff_Root_01,KeepRot:Dummy_Root::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_HandFX_01:Dummy_L_HandFX,Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_BodyFX_Textkey_01:Dummy_BodyFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_Root_Textkey_01,KeepRot:Dummy_Root:VFX_Prepare_01:0:None::None::0:0::::;VFX_Sound_Spell_Prepare_Intent_Buff_01:Dummy_Root::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Buff_TargetTouch_R_HandFX_01,KeepRot:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Buff_TargetTouch_R_HandFX_Textkey_01,Detach:Dummy_R_HandFX:VFX_Somatic_01:0:None::None::0:0::::"
data "TargetEffect" "VFX_Sound_Spell_Guidance_Impact_01:Cast::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Buff_Target_MageArmor_Textkey_01,Detach::Cast:0:None::None::0:0::::"
data "CastSelfAnimation" "efbf3ee5-7340-4b29-8ab5-113b004a8e7b(SPL_Somatic_Self_Touch_Combat_01_Cast)"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Buff_MageArmor_L1to3"
data "TargetSound" "Spell_Impact_Buff_MageArmor_L1to3"
data "CycleConditions" "Ally() and not Dead()"
data "SpellAnimationArcaneMagic" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5(SPL_Arcane_Buff_Combat_01_Prepare);;e37d18b8-0de7-4bbc-a644-31ec2a91e548(SPL_Somatic_Touch_Combat_01_Cast);acfe8d41-20c1-4fe8-b158-f4b2be86e080(SPL_Somatic_Touch_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5(SPL_Arcane_Buff_Combat_01_Prepare);;e37d18b8-0de7-4bbc-a644-31ec2a91e548(SPL_Somatic_Touch_Combat_01_Cast);acfe8d41-20c1-4fe8-b158-f4b2be86e080(SPL_Somatic_Touch_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5(SPL_Arcane_Buff_Combat_01_Prepare);;e37d18b8-0de7-4bbc-a644-31ec2a91e548(SPL_Somatic_Touch_Combat_01_Cast);acfe8d41-20c1-4fe8-b158-f4b2be86e080(SPL_Somatic_Touch_Combat_01_Recover);;"
data "VerbalIntent" "Buff"
data "SpellFlags" "IsSpell;CannotTargetItems;HasSomaticComponent;IsMelee;Stealth"
data "MemoryCost" "1"

new entry "AGTT_Target_BurdeningTouch"
type "SpellData"
data "SpellType" "Target"
data "Level" "1"
data "SpellSchool" "Alteration"
data "Icon" "Spell_Conjuration_MageHand"
data "TargetRadius" "MeleeMainWeaponRange"
data "DisplayName" "ad622270-28cb-4fdb-9af0-33d9a4258597"
data "Description" "78cf7fa9-1b96-44b5-a4b2-4f104a6a08fc"
data "TargetConditions" "Character() and not Dead()"
data "SpellRoll" "not SavingThrow(Ability.Dexterity, SourceSpellDC())"
data "SpellSuccess" "ApplyStatus(AGTT_STATUS_BURDEN, 100, 3)
data "TooltipStatusApply" "ApplyStatus(AGTT_STATUS_BURDEN, 100, 3)
data "CastTextEvent" "Cast"
data "VocalComponentSound" "Vocal_Component_Hypnotize"
data "UseCosts" "ActionPoint:1;SpellSlotsGroup:1:1:1"
data "SpellAnimationArcaneMagic" "554a18f7-952e-494a-b301-7702a85d4bc9(SPL_Arcane_Control_Combat_01_Prepare);;1fd48304-2ba1-4dcb-8efa-4550517305ed(SPL_Arcane_Control_Combat_01_Cast);2afb250c-e441-4573-a75e-e1fdad1c6064(SPL_Arcane_Control_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "8bb8bb70-003d-4c1d-a401-6a7479c679bf(SPL_Divine_Control_Combat_01_Prepare);;b4454373-5224-4ad2-82cd-4ca21767031e(SPL_Divine_Control_Combat_01_Cast);5aeeed37-e0fc-4a44-b420-b63a5e6f77fd(SPL_Divine_Control_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "554a18f7-952e-494a-b301-7702a85d4bc9(SPL_Arcane_Control_Combat_01_Prepare);;1fd48304-2ba1-4dcb-8efa-4550517305ed(SPL_Arcane_Control_Combat_01_Cast);2afb250c-e441-4573-a75e-e1fdad1c6064(SPL_Arcane_Control_Combat_01_Recover);;"
data "VerbalIntent" "Control"
data "SpellFlags" "CannotTargetTerrain;CannotTargetItems;IsHarmful;IsSpell;HasSomaticComponent"

new entry "AGTT_Target_Doorjam"
type "SpellData"
data "SpellType" "Target"
data "Level" "1"
data "SpellSchool" "Alteration"
data "TargetRadius" "MeleeMainWeaponRange"
data "Icon" "unknown"
data "DisplayName" "3aab423a-17c3-41db-8251-19e2274a445c"
data "Description" "03156bce-8241-4d70-b9b3-ca885e6b3e69"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_DOORJAM, 100, 1)"
data "SpellConditions" "Item() and not Character()"
data "CastTextEvent" "Cast"
data "VocalComponentSound" "Vocal_Component_Lock"
data "UseCosts" "ActionPoint:1;SpellSlot:1:1:1"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Utility_Featherfall_Root_Textkey_01:::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Utility_ShoutAoE_Featherfall_HandFX_01:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Utility_ShoutAoE_Featherfall_Root_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Intent_Utility_ShoutAoE_Impact_Featherfall_Root_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "SpellAnimationArcaneMagic" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5(SPL_Arcane_Buff_Combat_01_Prepare);;a4da186a-0872-461e-ae5e-93d5b32b9bef(SPL_Somatic_Circle_1HandCW_Combat_01_Cast);e8a5c57f-855b-4227-acaa-11e8ce8d7d64(CMBT_Melee_RHand_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "f0e00e36-4d0d-4037-830c-fe09383c0d43(SPL_Divine_Buff_Combat_01_Prepare);;a4da186a-0872-461e-ae5e-93d5b32b9bef(SPL_Somatic_Circle_1HandCW_Combat_01_Cast);e8a5c57f-855b-4227-acaa-11e8ce8d7d64(CMBT_Melee_RHand_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5(SPL_Arcane_Buff_Combat_01_Prepare);;a4da186a-0872-461e-ae5e-93d5b32b9bef(SPL_Somatic_Circle_1HandCW_Combat_01_Cast);e8a5c57f-855b-4227-acaa-11e8ce8d7d64(CMBT_Melee_RHand_Combat_01_Recover);;"
data "VerbalIntent" "Utility"
data "SpellFlags" "IsSpell;HasSomaticComponent;Stealth"
data "MemoryCost" "1"

new entry "AGTT_Shout_Feather"
type "SpellData"
data "SpellType" "Shout"
data "Level" "1"
data "SpellSchool" "Alteration"
data "Icon" "Spell_Transmutation_FeatherFall"
data "DisplayName" "84ce167d-ed2b-4558-ad1f-0e5fd522bc2e"
data "Description" "063d2e26-c2a4-42cb-9023-ee06d6afeacc"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_FEATHER, 100, 9)"
data "TooltipStatusApply" "ApplyStatus(AGTT_STATUS_FEATHER, 100, 9)"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Utility_Featherfall_Root_Textkey_01:::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Utility_ShoutAoE_Featherfall_HandFX_01:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Utility_ShoutAoE_Featherfall_Root_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Intent_Utility_ShoutAoE_Impact_Featherfall_Root_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Utility_FeatherFall_L1to3"
data "VocalComponentSound" "Vocal_Component_GrantFeatherFall"
data "TargetSound" "Spell_Impact_Utility_FeatherFall_L1to3"
data "UseCosts" "ActionPoint:1;SpellSlot:1:1:1"
data "SpellAnimationArcaneMagic" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5(SPL_Arcane_Buff_Combat_01_Prepare);;9d86c202-31a5-4ba3-ae60-ec4fbb425665(SPL_Somatic_Aoe_Widen_Combat_01_Cast);a4112e22-e36f-44ff-828f-81252360da53(SPL_Somatic_Aoe_Widen_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5(SPL_Arcane_Buff_Combat_01_Prepare);;9d86c202-31a5-4ba3-ae60-ec4fbb425665(SPL_Somatic_Aoe_Widen_Combat_01_Cast);a4112e22-e36f-44ff-828f-81252360da53(SPL_Somatic_Aoe_Widen_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5(SPL_Arcane_Buff_Combat_01_Prepare);;9d86c202-31a5-4ba3-ae60-ec4fbb425665(SPL_Somatic_Aoe_Widen_Combat_01_Cast);a4112e22-e36f-44ff-828f-81252360da53(SPL_Somatic_Aoe_Widen_Combat_01_Recover);;"
data "VerbalIntent" "Utility"
data "SpellFlags" "IsSpell;HasSomaticComponent;Stealth"
data "MemoryCost" "1"

new entry "AGTT_Target_GustForm"
type "SpellData"
data "SpellType" "Target"
data "Level" "1"
data "SpellSchool" "Alteration"
data "Icon" "Spell_Transmutation_Longstrider"
data "DisplayName" "c9d7c904-8be8-488d-9607-80ae2af433c3"
data "Description" "55b9390c-386b-4076-b410-ab6701ddcab1"
data "TargetConditions" "(Self() or Ally()) and not Dead()"
data "TargetRadius" "9"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_GUSTFORM, 100, 2)"
data "TooltipStatusApply" "ApplyStatus(AGTT_STATUS_GUSTFORM, 100, 2)"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Utility_Featherfall_Root_Textkey_01:::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Utility_ShoutAoE_Featherfall_HandFX_01:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Utility_ShoutAoE_Featherfall_Root_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Intent_Utility_ShoutAoE_Impact_Featherfall_Root_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Utility_FeatherFall_L1to3"
data "VocalComponentSound" "Vocal_Component_GrantFeatherFall"
data "TargetSound" "Spell_Impact_Utility_FeatherFall_L1to3"
