// Cantrips
// -----------------
// Clairvoyance						AGTT_Shout_Clairvoyance_GM
// Detect Magic (Ritual)			AGTT_Shout_DetectMagic_GM
// Detect Poison and Disease		AGTT_Shout_DetectPoison_GM
// Mental Interference				AGTT_Target_MentalInterference
// Project Object					AGTT_Teleportation_ProjectObject
// Psychic Howl						AGTT_Target_PsychicHowl
// Spectral Shield					AGTT_Shout_SpectralShield

// Game Master mode only, probably
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Debuff_R_HandFX_01:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Debuff_R_HandFX_Textkey_01:Dummy_R_HandFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Debuff_L_HandFX_Textkey_01:Dummy_L_HandFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Debuff_EyeFX_01:Dummy_EyeFX_01,Dummy_EyeFX_02:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Debuff_Bane_Root_01,KeepRot,Detach:Dummy_Root::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Debuff_Bane_L_HandFX_Textkey_01:Dummy_L_HandFX:VFX_Prepare_01:0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Debuff_TargetAoE_CastFX_Textkey_01:Dummy_CastFX:VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Debuff_TargetAoE_CastFX_PostProcess_Textkey_01:Dummy_CastFX:VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Debuff_TargetAoE_CastFX_Textkey_02:Dummy_CastFX:Cast:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Intent_Debuff_TargetAoE_Impact_BodyFX_Textkey_01:Dummy_BodyFX:Cast:0:None::None::0:0::::;VFX_Sound_Spell_TargetEffect_Debuff_Bane_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "PositionEffect" "VFX_Spells_Cast_Intent_Debuff_TargetAoE_Impact_Textkey_01::VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Debuff_TargetAoE_Impact_Textkey_02::Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Debuff_TargetAoE_Impact_PostProcess_Textkey_01::Cast:0:None::None::0:0::::"
data "SpellAnimation" "5e57443f-284e-47b2-915e-5b6417db269c,,;d8b7f668-db2b-43b0-9707-5da2ed2cf27e,,;7521e279-1bb3-4105-b32d-8206234836a3,,;d172e037-7041-4352-9a20-5f4b185f9ef1,,;5bcdefbb-2194-46c2-ac77-0b2d8472a5f7,,;,,;5fdb66be-7506-411a-a7ea-c4783288aac8,,;,,;,,"
data "SpellFlags" "HasSomaticComponent;IsSpell;IsHarmful"

new entry "AGTT_Target_MentalInterference_Force"
type "SpellData"
using "AGTT_Mysticism_Attack"
data "SpellType" "Target"
using "AGTT_Target_MentalInterference_Psychic"
data "Level" "0"
data "SpellContainerID" "AGTT_Target_MentalInterference"
data "DescriptionParams" "DealDamage(1d8,Force)"
data "TooltipDamageList" "DealDamage(1d8,Force)"
data "SpellSuccess" "DealDamage(1d8,Force);Force(3,OriginToTarget)"

// This is gonna be fun. Throw, but Teleport
new entry "AGTT_Teleportation_ProjectObject"
type "SpellData"
data "SpellType" "Teleportation"
data "Level" "0"
data "SpellSchool" "Mysticism"
data "Icon" "Spell_Conjuration_MageHand"
data "DisplayName" "ca8a0321-cd14-4f18-abae-cfe21880e516"
data "Description" "189b698a-83f6-4525-88e6-bb29624f744c"
data "TeleportSelf" "No"
data "TeleportSurface" "No"
data "TargetConditions" "Item()"
data "TargetRadius" "9"
data "AreaRadius" "9"
data "Height" "0"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Healing_HandFX_01,KeepRot:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_HandFX_01,KeepRot:Dummy_L_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_CastFX_01:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_CastFX_Textkey_01:Dummy_CastFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_Root_Textkey_01,Detach:Dummy_Root:VFX_Prepare_01:0:None::None::0:0::::;VFX_Sound_Spell_Prepare_Intent_Heal_01:Dummy_Root::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Healing_ShoutAoe_Rise_CastFX_01:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Healing_ShoutAoE_Rise_CastFX_Textkey_01:Dummy_CastFX:Cast:0:None::None::0:0::::"
data "DisappearEffect" "VFX_Spells_Cast_Intent_Healing_TargetSingle_Impact_Root_Textkey_01:Dummy_Root:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Healing_Teleportation_Impact_BodyFX_01:Dummy_BodyFX:VFX_Somatic_03:0:None::None::0:0::::"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "5e57443f-284e-47b2-915e-5b6417db269c,,;d8b7f668-db2b-43b0-9707-5da2ed2cf27e,,;7521e279-1bb3-4105-b32d-8206234836a3,,;d172e037-7041-4352-9a20-5f4b185f9ef1,,;5bcdefbb-2194-46c2-ac77-0b2d8472a5f7,,;,,;5fdb66be-7506-411a-a7ea-c4783288aac8,,;,,;,,"
data "SpellFlags" "HasSomaticComponent;IsSpell;RangeIgnoreVerticalThreshold"

new entry "AGTT_Target_PsychicHowl"
type "SpellData"
data "SpellType" "Target"
data "Level" "0"
data "SpellSchool" "Mysticism"
data "Icon" "unknown"
data "DisplayName" "b6f47cd2-a782-4516-9491-fd05fd203fd7"
data "Description" "f5e34e6a-8669-4cb3-a0b6-0592f6111b1b;1"
data "TargetRadius" "18"
data "AreaRadius" "2"
data "ExplodeRadius" "2"
data "SpellRoll" "not SavingThrow(Ability.Intelligence, SourceSpellDC())"
data "DescriptionParams" "DealDamage(1d6,Psychic)"
data "TooltipDamageList" "DealDamage(1d6,Psychic)"
data "SpellSuccess" "DealDamage(1d6,Psychic)"
data "SpellFail" "DealDamage((1d6)/2,Psychic)"
data "TooltipAttackSave" "Wisdom"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Damage_Psychic_R_HandFX_01:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Damage_Psychic_R_HandFX_Textkey_01:Dummy_R_HandFX:VFX_Prepare_01:0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Damage_Psychic_TargetSingle_HandFX_Textkey_01:Dummy_R_HandFX:VFX_Somatic_01:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Damage_Psychic_TargetSingle_HeadFX_Textkey_02:Dummy_HeadFX:VFX_Somatic_02:0:None::None::0:0::::;VFX_Spells_Cast_Damage_Psychic_TargetSingle_HeadFX_PostFX_Textkey_02:Dummy_HeadFX:VFX_Somatic_02:0:None::None::0:0::::"
data "SpellAnimation" "5e57443f-284e-47b2-915e-5b6417db269c,,;d8b7f668-db2b-43b0-9707-5da2ed2cf27e,,;7521e279-1bb3-4105-b32d-8206234836a3,,;d172e037-7041-4352-9a20-5f4b185f9ef1,,;5bcdefbb-2194-46c2-ac77-0b2d8472a5f7,,;,,;5fdb66be-7506-411a-a7ea-c4783288aac8,,;,,;,,"
data "SpellFlags" "HasSomaticComponent;IsSpell;IsHarmful"
data "MemoryCost" "1"

new entry "AGTT_Shout_SpectralShield"
type "SpellData"
data "SpellType" "Shout"
data "Level" "0"
data "SpellSchool" "Mysticism"
data "Icon" "Spell_Abjuration_ShieldOfFaith"
data "DisplayName" "f1b90c0b-4566-421e-abe0-6d6876e9707c"
data "Description" "177d46aa-c77c-46e5-93b8-f58aafde14d2"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_SPECTRALSHIELD,100,1)"
data "TooltipStatusApply" "ApplyStatus(AGTT_STATUS_SPECTRALSHIELD,100,1)"
data "TargetConditions" "Self()"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Buff_Root_01,KeepRot:Dummy_Root::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_HandFX_01:Dummy_L_HandFX,Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_BodyFX_Textkey_01:Dummy_BodyFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_Root_Textkey_01,KeepRot:Dummy_Root:VFX_Prepare_01:0:None::None::0:0::::;VFX_Sound_Spell_Prepare_Intent_Buff_01:Dummy_Root::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Buff_TargetSingle_R_HandFX_01:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Buff_TargetSingle_R_HandFX_Textkey_01,Detach:Dummy_R_HandFX:Cast:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Intent_Buff_TargetSingle_Impact_Root_01:Dummy_Root:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Buff_TargetSingle_Impact_PostProcess_Textkey_01:Cast::0:None::None::0:0::::;VFX_Sound_Spell_ShieldOfFaith_Impact_01:Cast::0:None::None::0:0::::"
data "PreviewCursor" "Cast"
data "CastSelfAnimation" "efbf3ee5-7340-4b29-8ab5-113b004a8e7b(SPL_Somatic_Self_Touch_Combat_01_Cast)"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Buff_ShieldOfFaith_L1to3"
data "TargetSound" "Spell_Impact_Buff_ShieldOfFaith_L1to3"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "5e57443f-284e-47b2-915e-5b6417db269c,,;d8b7f668-db2b-43b0-9707-5da2ed2cf27e,,;7521e279-1bb3-4105-b32d-8206234836a3,,;d172e037-7041-4352-9a20-5f4b185f9ef1,,;5bcdefbb-2194-46c2-ac77-0b2d8472a5f7,,;,,;5fdb66be-7506-411a-a7ea-c4783288aac8,,;,,;,,"
data "SpellFlags" "HasSomaticComponent;IsSpell;CannotTargetTerrain"
data "MemoryCost" "1"

// 1st Level Spells
// -----------------
// Appraising Touch				AGTT_AppraisingTouch_GM
// Brand						AGTT_Target_Brand
// Command						AGTT_Target_Command_Halt
// Create Air
// Detect Life					AGTT_Shout_DetectLife_GM
// Dispel						AGTT_Target_Dispel
// Identify						AGTT_Target_Identify
// Mage Armor					AGTT_Mage_Armor
// Nightshield					AGTT_Shout_Nightshield
// Pester						AGTT_Target_Pester
// Prophesized Strike			AGTT_Shout_ProphesizedStrike
// See Hidden Doors
// Smoke Ladder					AGTT_Target_SmokeLadder
// Wieldskill

new entry "AGTT_AppraisingTouch_GM
type "SpellData"
data "SpellType" "Shout"
data "Level" "1"
data "SpellSchool" "Mysticism"
data "DisplayName" "d9e62d18-1ed9-4d77-8366-364f6b33d628"
data "Description" "f48a1e31-f132-41a6-82d6-f1be3028116d"
data "Icon" "unknown"
data "TargetConditions" "Self()"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_APPRAISINGTOUCH),100,85"
data "CastEffect" "VFX_Spells_Cast_Intent_Whitebox_ShoutSelf_Cast_Root_01,Detach:Dummy_BodyFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Whitebox_ShoutSelf_Impact_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1;SpellSlot:1:1:1"
data "MemoryCost" "1"
data "SpellFlags" "IsSpell;IsConcentration;HasSomaticComponent;IsConcentration"

// May need further looking at - you should _always_ know where they are
new entry "AGTT_Target_Brand"
type "SpellData"
data "SpellType" "Target"
data "Level" "1"
data "TargetRadius" "9"
data "SpellSchool" "Mysticism"
data "Icon" "Spell_Divination_HuntersMark"
data "DisplayName" "b7f2cb94-eebb-4593-ba03-9045061af192"
data "Description" "f0eb46a7-bbff-455e-b79d-0cf43fac9786"
data "SpellRoll" "not SavingThrow(Ability.Wisdom, SourceSpellDC())"
data "SpellSuccess" "ApplyStatus(AGTT_STATUS_BRAND,100,18)"
data "TargetConditions" "not Dead() and not Item() and not (not Player(context.Source)"
data "TooltipStatusApply" "ApplyStatus(AGTT_STATUS_BRAND,100,18)"
data "TooltipAttackSave" "Wisdom"
data "UseCosts" "ActionPoint:1;SpellSlot:1:1:1"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Control_CastFX_Textkey_01:Dummy_CastFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Control_CastFX_01:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Control_EyeFX_01:Dummy_EyeFX_01,Dummy_EyeFX_02::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Control_TargetAoE_CastFX_Textkey_01:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Control_TargetAoE_CastFX_Textkey_02:Dummy_CastFX:Cast:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Intent_Control_TargetAoE_Impact_EyeFX_Textkey_01:Dummy_EyeFX_01,Dummy_EyeFX_02:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Control_TargetAoE_Impact_HeadFX_Textkey_01:Dummy_HeadFX:Cast:0:None::None::0:0::::;VFX_Sound_Spell_TargetEffect_Control_Sleep_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "PositionEffect" "VFX_Spells_Cast_Intent_Control_TargetAoE_Impact_Textkey_01::VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Control_TargetAoE_Impact_Textkey_02::Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Control_TargetAoE_Impact_PostProcess_Textkey_01::Cast:0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Control_Sleep_L1to3"
data "TargetSound" "Spell_Impact_Control_Sleep_L1to3"
data "SpellAnimation" "5e57443f-284e-47b2-915e-5b6417db269c,,;d8b7f668-db2b-43b0-9707-5da2ed2cf27e,,;7521e279-1bb3-4105-b32d-8206234836a3,,;d172e037-7041-4352-9a20-5f4b185f9ef1,,;5bcdefbb-2194-46c2-ac77-0b2d8472a5f7,,;,,;5fdb66be-7506-411a-a7ea-c4783288aac8,,;,,;,,"
data "SpellFlags" "IsSpell;HasSomaticComponent;HasHighGroundRangeExtension;IsHarmful;RangeIgnoreVerticalThreshold;CannotTargetItems;CannotTargetTerrain"

new entry "AGTT_Target_Command_Container"
type "SpellData"
data "SpellType" "Target"
using "Target_Command_Halt"
data "SpellSchool" "Mysticism"
data "ContainerSpells" "AGTT_Target_Command_Halt;AGTT_Target_Command_Approach;AGTT_Target_Command_Drop;AGTT_Target_Command_Flee;AGTT_Target_Command_Grovel"
data "SpellFlags" "HasSomaticComponent;IsSpell;IsHarmful;IsLinkedSpellContainer"
data "Icon" "Target_Command_Halt"
data "DisplayName" "11eb60ac-5d7f-460a-8752-02dc73473b13"
data "Description" "c7d626f4-4308-4ef5-8273-95d78a3ebd5e"

new entry "AGTT_Target_Command_Halt"
type "SpellData"
data "SpellType" "Target"
using "Target_Command_Halt"
data "SpellSchool" "Mysticism"
data "SpellContainerID" "AGTT_Target_Command_Container"

new entry "AGTT_Target_Command_Approach"
type "SpellData"
data "SpellType" "Target"
using "Target_Command_Approach"
data "SpellSchool" "Mysticism"
data "SpellContainerID" "AGTT_Target_Command_Container"

new entry "AGTT_Target_Command_Drop"
type "SpellData"
data "SpellType" "Target"
using "Target_Command_Drop"
data "SpellSchool" "Mysticism"
data "SpellContainerID" "AGTT_Target_Command_Container"

new entry "AGTT_Target_Command_Flee"
type "SpellData"
data "SpellType" "Target"
using "Target_Command_Flee"
data "SpellSchool" "Mysticism"
data "SpellContainerID" "AGTT_Target_Command_Container"

new entry "AGTT_Target_Command_Grovel"
type "SpellData"
data "SpellType" "Target"
using "Target_Command_Grovel"
data "SpellSchool" "Mysticism"
data "SpellContainerID" "AGTT_Target_Command_Container"


new entry "AGTT_Target_Dispel"
type "SpellData"
using "Target_DispelMagic"
data "SpellSchool" "Mysticism"
data "SpellFlags" "IsSpell;HasSomaticComponent"

// Game Master mode only, probably
new entry "AGTT_Shout_DetectLife_GM"
type "SpellData"
data "SpellType" "Shout"
data "Level" "0"
data "SpellSchool" "Mysticism"
data "DisplayName" "Detect Life"
data "AreaRadius" "9"
data "Description" "For the duration of the spell, you know if there are any living creatures in the area."
data "Icon" "unknown"
data "TargetConditions" "Self()"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_DETECTLIFE),100,85"
data "CastEffect" "VFX_Spells_Cast_Intent_Whitebox_ShoutSelf_Cast_Root_01,Detach:Dummy_BodyFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Whitebox_ShoutSelf_Impact_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1;SpellSlot:1:1:1"
data "MemoryCost" "1"
data "SpellFlags" "IsSpell;IsConcentration;HasSomaticComponent"

new entry "AGTT_Target_Identify"
type "SpellData"
data "SpellType" "Target"
using "Target_Identify"
data "SpellSchool" "Mysticism"
data "SpellFlags" "IsSpell;HasSomaticComponent;IsMelee"

new entry "AGTT_Mage_Armor"
type "SpellData"
data "SpellType" "Target"
using "Target_MageArmor"
data "SpellFlags" "IsSpell;CannotTargetItems;HasSomaticComponent;IsMelee"

new entry "AGTT_Shout_Nightshield"
type "SpellData"
data "SpellType" "Shout"
data "Level" "1"
data "Icon" "Spell_Abjuration_MageArmor"
data "SpellSchool" "Mysticism"
data "DisplayName" "3bd4c897-3b85-47bd-98d2-035771dbb0f8"
data "Description" "98c82843-e0a8-47ab-9c2d-d1ffac4894b0"
data "TargetConditions" "Self() and not IsInSunlight()"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_NIGHTSHIELD,100,9)"
data "TooltipStatusApply" "ApplyStatus(AGTT_STATUS_NIGHTSHIELD,100,9)"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Buff_Root_01,KeepRot:Dummy_Root::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_HandFX_01:Dummy_L_HandFX,Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_BodyFX_Textkey_01:Dummy_BodyFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_Root_Textkey_01,KeepRot:Dummy_Root:VFX_Prepare_01:0:None::None::0:0::::;VFX_Sound_Spell_Prepare_Intent_Buff_01:Dummy_Root::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Buff_TargetTouch_R_HandFX_01,KeepRot:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Buff_TargetTouch_R_HandFX_Textkey_01,Detach:Dummy_R_HandFX:VFX_Somatic_01:0:None::None::0:0::::"
data "TargetEffect" "VFX_Sound_Spell_Guidance_Impact_01:Cast::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Buff_Target_MageArmor_Textkey_01,Detach::Cast:0:None::None::0:0::::"
data "CastSelfAnimation" "efbf3ee5-7340-4b29-8ab5-113b004a8e7b(SPL_Somatic_Self_Touch_Combat_01_Cast)"
data "SpellAnimation" "5e57443f-284e-47b2-915e-5b6417db269c,,;d8b7f668-db2b-43b0-9707-5da2ed2cf27e,,;7521e279-1bb3-4105-b32d-8206234836a3,,;d172e037-7041-4352-9a20-5f4b185f9ef1,,;5bcdefbb-2194-46c2-ac77-0b2d8472a5f7,,;,,;5fdb66be-7506-411a-a7ea-c4783288aac8,,;,,;,,"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Buff_MageArmor_L1to3"
data "TargetSound" "Spell_Impact_Buff_MageArmor_L1to3"
data "UseCosts" "ActionPoint:1;SpellSlot:1:1:1"
data "MemoryCost" "1"
data "SpellFlags" "IsSpell;IsConcentration;HasSomaticComponent"

new entry "AGTT_Target_Pester"
type "SpellData"
data "SpellType" "Target"
data "Level" "1"
data "Icon" "unknown"
data "SpellSchool" "Mysticism"
data "DisplayName" "7a44ccec-02e5-4525-b7c1-f7ccb90e3fe0"
data "Description" "8248d3c0-31a7-4fd3-8274-094ccfc28160"
data "TargetRadius" "18"
data "TargetConditions" "Character() and not Self() and not Dead()"
data "SpellRoll" "not SavingThrow(Ability.Charisma, SourceSpellDC())"
data "TooltipAttackSave" "Charisma"
data "TooltipStatusApply" "ApplyStatus(AGTT_STATUS_PESTER,100,9)"
data "SpellSuccess" "ApplyStatus(AGTT_STATUS_PESTER,100,9)"
data "UseCosts" "ActionPoint:1;SpellSlot:1:1:1"
data "MemoryCost" "1"
data "CastTextEvent" "Cast"
data "SpellAnimation" "5e57443f-284e-47b2-915e-5b6417db269c,,;d8b7f668-db2b-43b0-9707-5da2ed2cf27e,,;7521e279-1bb3-4105-b32d-8206234836a3,,;d172e037-7041-4352-9a20-5f4b185f9ef1,,;5bcdefbb-2194-46c2-ac77-0b2d8472a5f7,,;,,;5fdb66be-7506-411a-a7ea-c4783288aac8,,;,,;,,"
data "SpellFlags" "IsSpell;IsConcentration;HasSomaticComponent;IsHarmful;Stealth;CannotTargetItems;CannotTargetTerrain"

new entry "AGTT_Target_Prophesized_Strike"
type "SpellData"
data "SpellType" "Target"
using "Target_MainHandAttack"
data "Level" "1"
data "SpellSchool" "Mysticism"
data "DisplayName" "94200622-f69a-447f-9f49-807d069daf1e"
data "Icon" "Action_DippedFire_Melee"
data "Description" "6283a6fe-ef0f-47c2-9d71-7e5e2c0de9ed;1"
data "DescriptionParams" "DealDamage(MainMeleeWeapon+2d6,MainMeleeWeaponDamageType)"
data "TooltipAttackSave" "MeleeSpellAttack"
data "TooltipDamageList" "DealDamage(MainMeleeWeapon+2d6,MainMeleeWeaponDamageType)"
data "TooltipStatusApply" "ApplyStatus(AGTT_STATUS_PROPHESIZED_STRIKE,100,1)"
data "TargetRadius" "MeleeMainWeaponRange"
data "SpellRoll" "Attack(AttackType.MeleeSpellAttack)"
data "SpellSuccess" "DealDamage(MainMeleeWeapon+2d6, MainMeleeWeaponDamageType);ExecuteWeaponFunctors(MainHand);ApplyStatus(AGTT_STATUS_PROPHESIZED_STRIKE,100,1)"
